AcademiaFreq_Project_Data
Issue Key;Issue Type;Summary;Description;Priority;Status;Assignee;Reporter;Epic Link;Sprint;Story Points;Labels;Created;Due Date;Original Estimate;Time Spent;Components
EPIC-1;Epic;Cadastro e Autenticação;Sistema de login, cadastro e gestão de perfis (alunos, professores, admin);Highest;In Progress;Maria Silva;Maria Silva;;;;epic,academic-app;2026-01-06;2026-03-31;;;Planning
EPIC-2;Epic;Registro de Presença;Funcionalidades para marcar presença via QR Code, geolocalização e manual;Highest;In Progress;Maria Silva;Maria Silva;;;;epic,academic-app;2026-01-06;2026-03-31;;;Planning
EPIC-3;Epic;Gestão de Turmas e Disciplinas;CRUD de turmas, disciplinas, horários e vinculação aluno-turma;High;In Progress;Maria Silva;Maria Silva;;;;epic,academic-app;2026-01-06;2026-03-31;;;Planning
EPIC-4;Epic;Relatórios e Dashboard;Visualização de frequência, relatórios consolidados e analytics;Medium;To Do;Maria Silva;Maria Silva;;;;epic,academic-app;2026-01-06;2026-03-31;;;Planning
EPIC-5;Epic;Notificações e Alertas;Sistema de notificações push, email e SMS para faltas e avisos;Medium;To Do;Maria Silva;Maria Silva;;;;epic,academic-app;2026-01-06;2026-03-31;;;Planning
EPIC-6;Epic;Integrações Externas;Integração com sistemas acadêmicos (SIA, Moodle) e exportação dados;Low;To Do;Maria Silva;Maria Silva;;;;epic,academic-app;2026-01-06;2026-03-31;;;Planning
FREQ-1;Story;Login com email/senha;Como usuário, eu quero login com email/senha para melhorar a experiência com o app de frequência acadêmica.;Highest;Done;Carlos Mendes;Maria Silva;EPIC-1;Sprint 1;3;sprint-1,epic-1;2026-01-02;2026-01-19;24h;18h;Module-1
FREQ-2;Task;Design UI/UX - Login com email/senha;Realizar design ui/ux para a funcionalidade: Login com email/senha;Highest;Done;Juliana Souza;João Santos;EPIC-1;Sprint 1;;task,design-ui/ux;2026-01-03;2026-01-19;4h;3h;Module-1
FREQ-3;Task;Implementação Backend - Login com email/senha;Realizar implementação backend para a funcionalidade: Login com email/senha;Highest;Done;Carlos Mendes;João Santos;EPIC-1;Sprint 1;;task,implementação-backend;2026-01-03;2026-01-19;7h;6h;Module-1
FREQ-4;Task;Implementação Frontend Web - Login com email/senha;Realizar implementação frontend web para a funcionalidade: Login com email/senha;Highest;Done;Beatriz Costa;João Santos;EPIC-1;Sprint 1;;task,implementação-frontend-web;2026-01-03;2026-01-19;6h;5h;Module-1
FREQ-5;Task;Testes Unitários - Login com email/senha;Realizar testes unitários para a funcionalidade: Login com email/senha;Highest;Done;Rafael Lima;João Santos;EPIC-1;Sprint 1;;task,testes-unitários;2026-01-03;2026-01-19;3h;3h;Module-1
FREQ-6;Task;Code Review - Login com email/senha;Realizar code review para a funcionalidade: Login com email/senha;Highest;Done;Ana Oliveira;João Santos;EPIC-1;Sprint 1;;task,code-review;2026-01-03;2026-01-19;4h;3h;Module-1
FREQ-7;Story;Recuperação de senha por email;Como usuário, eu quero recuperação de senha por email para melhorar a experiência com o app de frequência acadêmica.;High;In Progress;Beatriz Costa;Maria Silva;EPIC-1;Sprint 1;2;sprint-1,epic-1;2025-12-28;2026-01-19;16h;;Module-1
FREQ-8;Task;Design UI/UX - Recuperação de senha por email;Realizar design ui/ux para a funcionalidade: Recuperação de senha por email;High;Done;Juliana Souza;João Santos;EPIC-1;Sprint 1;;task,design-ui/ux;2025-12-29;2026-01-19;4h;3h;Module-1
FREQ-9;Task;Implementação Backend - Recuperação de senha por email;Realizar implementação backend para a funcionalidade: Recuperação de senha por email;High;In Progress;Carlos Mendes;João Santos;EPIC-1;Sprint 1;;task,implementação-backend;2025-12-29;2026-01-19;4h;;Module-1
FREQ-10;Task;Implementação Frontend Web - Recuperação de senha por email;Realizar implementação frontend web para a funcionalidade: Recuperação de senha por email;High;Done;Beatriz Costa;João Santos;EPIC-1;Sprint 1;;task,implementação-frontend-web;2025-12-29;2026-01-19;4h;3h;Module-1
FREQ-11;Task;Testes Unitários - Recuperação de senha por email;Realizar testes unitários para a funcionalidade: Recuperação de senha por email;High;Done;Rafael Lima;João Santos;EPIC-1;Sprint 1;;task,testes-unitários;2025-12-29;2026-01-19;2h;2h;Module-1
FREQ-12;Task;Code Review - Recuperação de senha por email;Realizar code review para a funcionalidade: Recuperação de senha por email;High;Done;Ana Oliveira;João Santos;EPIC-1;Sprint 1;;task,code-review;2025-12-29;2026-01-19;4h;3h;Module-1
FREQ-13;Story;Login social (Google/Facebook);Como usuário, eu quero login social (google/facebook) para melhorar a experiência com o app de frequência acadêmica.;Medium;Done;Beatriz Costa;Maria Silva;EPIC-1;Sprint 1;5;sprint-1,epic-1;2026-01-03;2026-01-19;40h;30h;Module-1
FREQ-14;Task;Design UI/UX - Login social (Google/Facebook);Realizar design ui/ux para a funcionalidade: Login social (Google/Facebook);Medium;Done;Juliana Souza;João Santos;EPIC-1;Sprint 1;;task,design-ui/ux;2026-01-04;2026-01-19;4h;3h;Module-1
FREQ-15;Task;Implementação Backend - Login social (Google/Facebook);Realizar implementação backend para a funcionalidade: Login social (Google/Facebook);Medium;Done;Carlos Mendes;João Santos;EPIC-1;Sprint 1;;task,implementação-backend;2026-01-04;2026-01-19;12h;10h;Module-1
FREQ-16;Task;Implementação Frontend Web - Login social (Google/Facebook);Realizar implementação frontend web para a funcionalidade: Login social (Google/Facebook);Medium;Done;Beatriz Costa;João Santos;EPIC-1;Sprint 1;;task,implementação-frontend-web;2026-01-04;2026-01-19;10h;8h;Module-1
FREQ-17;Task;Implementação Mobile - Login social (Google/Facebook);Realizar implementação mobile para a funcionalidade: Login social (Google/Facebook);Medium;Done;Pedro Almeida;João Santos;EPIC-1;Sprint 1;;task,implementação-mobile;2026-01-04;2026-01-19;10h;8h;Module-1
FREQ-18;Task;Testes Unitários - Login social (Google/Facebook);Realizar testes unitários para a funcionalidade: Login social (Google/Facebook);Medium;Done;Rafael Lima;João Santos;EPIC-1;Sprint 1;;task,testes-unitários;2026-01-04;2026-01-19;6h;5h;Module-1
FREQ-19;Task;Testes E2E - Login social (Google/Facebook);Realizar testes e2e para a funcionalidade: Login social (Google/Facebook);Medium;Done;Rafael Lima;João Santos;EPIC-1;Sprint 1;;task,testes-e2e;2026-01-04;2026-01-19;6h;5h;Module-1
FREQ-20;Task;Code Review - Login social (Google/Facebook);Realizar code review para a funcionalidade: Login social (Google/Facebook);Medium;Done;Ana Oliveira;João Santos;EPIC-1;Sprint 1;;task,code-review;2026-01-04;2026-01-19;4h;3h;Module-1
FREQ-21;Story;Cadastro de novo usuário;Como usuário, eu quero cadastro de novo usuário para melhorar a experiência com o app de frequência acadêmica.;Highest;Done;Carlos Mendes;Maria Silva;EPIC-1;Sprint 1;3;sprint-1,epic-1;2026-01-03;2026-01-19;24h;18h;Module-1
FREQ-22;Task;Design UI/UX - Cadastro de novo usuário;Realizar design ui/ux para a funcionalidade: Cadastro de novo usuário;Highest;Done;Juliana Souza;João Santos;EPIC-1;Sprint 1;;task,design-ui/ux;2026-01-04;2026-01-19;4h;3h;Module-1
FREQ-23;Task;Implementação Backend - Cadastro de novo usuário;Realizar implementação backend para a funcionalidade: Cadastro de novo usuário;Highest;Done;Carlos Mendes;João Santos;EPIC-1;Sprint 1;;task,implementação-backend;2026-01-04;2026-01-19;7h;6h;Module-1
FREQ-24;Task;Implementação Frontend Web - Cadastro de novo usuário;Realizar implementação frontend web para a funcionalidade: Cadastro de novo usuário;Highest;Done;Beatriz Costa;João Santos;EPIC-1;Sprint 1;;task,implementação-frontend-web;2026-01-04;2026-01-19;6h;5h;Module-1
