IssueKey,IssueType,Summary,Description,Priority,Status,Assignee,Reporter,EpicLink,Sprint,StoryPoints,Labels,Created,DueDate,OriginalEstimate,TimeSpent,Components
EPIC-1,Epic,Cadastro e Autenticacao,Sistema de login cadastro e gestao de perfis para alunos professores e admin,Highest,In Progress,Maria Silva,Maria Silva,,,,epic academic-app,2026-01-06,2026-03-31,,,Planning
EPIC-2,Epic,Registro de Presenca,Funcionalidades para marcar presenca via QR Code geolocalizacao e manual,Highest,In Progress,Maria Silva,Maria Silva,,,,epic academic-app,2026-01-06,2026-03-31,,,Planning
EPIC-3,Epic,Gestao de Turmas e Disciplinas,CRUD de turmas disciplinas horarios e vinculacao aluno-turma,High,In Progress,Maria Silva,Maria Silva,,,,epic academic-app,2026-01-06,2026-03-31,,,Planning
EPIC-4,Epic,Relatorios e Dashboard,Visualizacao de frequencia relatorios consolidados e analytics,Medium,To Do,Maria Silva,Maria Silva,,,,epic academic-app,2026-01-06,2026-03-31,,,Planning
EPIC-5,Epic,Notificacoes e Alertas,Sistema de notificacoes push email e SMS para faltas e avisos,Medium,To Do,Maria Silva,Maria Silva,,,,epic academic-app,2026-01-06,2026-03-31,,,Planning
EPIC-6,Epic,Integracoes Externas,Integracao com sistemas academicos SIA Moodle e exportacao dados,Low,To Do,Maria Silva,Maria Silva,,,,epic academic-app,2026-01-06,2026-03-31,,,Planning
FREQ-1,Story,Login com email e senha,User story: Login com email e senha,Highest,In Progress,Beatriz Costa,Maria Silva,EPIC-1,Sprint 1,3,sprint-1 epic-1,2025-12-30,2026-01-19,24h,,Module-1
FREQ-2,Task,Design UI/UX for Login com email e senha,Task: Design UI/UX,Highest,Done,Juliana Souza,Joao Santos,EPIC-1,Sprint 1,,task design-ui/ux,2025-12-31,2026-01-19,4h,3h,Module-1
FREQ-3,Task,Backend Implementation for Login com email e senha,Task: Backend Implementation,Highest,In Progress,Carlos Mendes,Joao Santos,EPIC-1,Sprint 1,,task backend-implementation,2025-12-31,2026-01-19,7h,,Module-1
FREQ-4,Task,Frontend Web Implementation for Login com email e senha,Task: Frontend Web Implementation,Highest,Done,Beatriz Costa,Joao Santos,EPIC-1,Sprint 1,,task frontend-web-implementation,2025-12-31,2026-01-19,6h,5h,Module-1
FREQ-5,Task,Unit Tests for Login com email e senha,Task: Unit Tests,Highest,Done,Rafael Lima,Joao Santos,EPIC-1,Sprint 1,,task unit-tests,2025-12-31,2026-01-19,3h,3h,Module-1
